<html><head>
<meta http-equiv="content-type" content="text/html; charset=windows-1252"></head><body>Hourly Obs
<pre>Month/Year: 02/2005
Station Location: SARASOTA/BRADENTON INTL AP (12871)
Lat: 27.401
Lon: -82.558
Elev: 28 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
12871,20050201,0053,12,CLR, ,10.00, , , ,53, ,11.7, ,51, ,10.5, ,49, ,9.4, , 86, ,10, ,070, , , ,30.08, ,8, ,004, ,30.11, ,AA, , , ,30.11, 
12871,20050201,0153,12,CLR, , 9.00, , , ,52, ,11.1, ,50, ,10.2, ,49, ,9.4, , 90, , 7, ,070, , , ,30.08, , , , , ,30.11, ,AA, , , ,30.11, 
12871,20050201,0253,12,CLR, , 7.00, , , ,50, ,10.0, ,49, ,9.4, ,48, ,8.9, , 93, , 7, ,070, , , ,30.07, , , , , ,30.10, ,AA, , , ,30.10, 
12871,20050201,0353,12,CLR, , 9.00, , , ,50, ,10.0, ,49, ,9.1, ,47, ,8.3, , 90, , 8, ,080, , , ,30.05, ,8, ,010, ,30.08, ,AA, , , ,30.08, 
12871,20050201,0453,12,CLR, ,10.00, , , ,50, ,10.0, ,49, ,9.1, ,47, ,8.3, , 90, , 8, ,060, , , ,30.06, , , , , ,30.08, ,AA, , , ,30.09, 
12871,20050201,0553,12,CLR, , 7.00, , , ,49, ,9.4, ,48, ,8.8, ,47, ,8.3, , 93, , 6, ,040, , , ,30.07, , , , , ,30.10, ,AA, , , ,30.10, 
12871,20050201,0653,12,CLR, , 7.00, , , ,50, ,10.0, ,49, ,9.1, ,47, ,8.3, , 90, , 8, ,060, , , ,30.09, ,3, ,013, ,30.11, ,AA, , , ,30.12, 
12871,20050201,0753,12,CLR, , 5.00, ,BR, ,51, ,10.6, ,49, ,9.4, ,47, ,8.3, , 86, , 7, ,050, , , ,30.13, , , , , ,30.16, ,AA, , , ,30.16, 
12871,20050201,0853,12,CLR, , 8.00, , , ,55, ,12.8, ,52, ,11.3, ,50, ,10.0, , 83, ,13, ,070, , , ,30.14, , , , , ,30.16, ,AA, , , ,30.17, 
12871,20050201,0953,12,CLR, ,10.00, , , ,60, ,15.6, ,55, ,12.8, ,51, ,10.6, , 72, ,10, ,080, , , ,30.14, ,1, ,019, ,30.17, ,AA, , , ,30.17, 
12871,20050201,1053,12,CLR, ,10.00, , , ,66, ,18.9, ,59, ,14.8, ,53, ,11.7, , 63, ,10, ,070, , , ,30.16, , , , , ,30.18, ,AA, , , ,30.19, 
12871,20050201,1153,12,CLR, ,10.00, , , ,71, ,21.7, ,61, ,15.9, ,53, ,11.7, , 53, , 9, ,070, , , ,30.14, , , , , ,30.16, ,AA, , , ,30.17, 
12871,20050201,1253,12,CLR, ,10.00, , , ,72, ,22.2, ,61, ,16.1, ,53, ,11.7, , 51, , 9, ,100, , , ,30.10, ,8, ,014, ,30.13, ,AA, , , ,30.13, 
12871,20050201,1353,12,CLR, ,10.00, , , ,72, ,22.2, ,61, ,15.8, ,52, ,11.1, , 50, , 9, ,130, , , ,30.05, , , , , ,30.07, ,AA, , , ,30.08, 
