Station,Date,Range,Hi,Lo
8726520,2000-08-02T04:00:00,2.778000,3.005000,0.227000
8726520,2000-08-15T04:00:00,2.533000,2.723000,0.190000
8726520,2000-08-29T04:00:00,2.901000,3.078000,0.177000
8726520,2000-09-12T04:00:00,2.116000,2.569000,0.453000
8726520,2000-09-25T04:00:00,2.526000,2.592000,0.066000
8726520,2000-10-10T04:00:00,1.798000,1.198000,-0.600000
8726520,2000-10-23T04:00:00,2.149000,2.507000,0.358000
8726520,2000-11-07T05:00:00,1.318000,2.503000,1.185000
8726520,2000-11-21T05:00:00,1.424000,1.053000,-0.371000
8726520,2000-12-05T05:00:00,1.333000,1.126000,-0.207000
8726520,2000-12-19T05:00:00,1.312000,1.414000,0.102000
8726520,2001-01-02T05:00:00,1.447000,0.912000,-0.535000
8726520,2001-01-16T05:00:00,1.410000,1.276000,-0.134000
8726520,2001-01-30T05:00:00,1.562000,1.480000,-0.082000
8726520,2001-02-13T05:00:00,1.480000,1.362000,-0.118000
8726520,2001-02-27T05:00:00,1.756000,1.828000,0.072000
8726520,2001-03-13T05:00:00,1.709000,2.070000,0.361000
8726520,2001-03-27T05:00:00,2.028000,1.687000,-0.341000
8726520,2001-04-10T04:00:00,2.172000,2.064000,-0.108000
8726520,2001-04-24T04:00:00,2.149000,2.021000,-0.128000
8726520,2001-05-07T04:00:00,2.087000,1.979000,-0.108000
8726520,2001-05-21T04:00:00,1.887000,2.074000,0.187000
8726520,2001-06-05T04:00:00,2.372000,2.313000,-0.059000
8726520,2001-06-19T04:00:00,2.244000,1.916000,-0.328000
8726520,2001-07-02T04:00:00,1.968000,2.175000,0.207000
8726520,2001-07-16T04:00:00,1.851000,2.074000,0.223000
8726520,2001-07-31T04:00:00,2.241000,2.044000,-0.197000
8726520,2001-08-14T04:00:00,1.910000,2.061000,0.151000
8726520,2001-08-28T04:00:00,1.933000,2.133000,0.200000
8726520,2001-09-11T04:00:00,2.171000,2.503000,0.332000
8726520,2001-09-27T04:00:00,1.831000,1.933000,0.102000
8726520,2001-10-09T04:00:00,1.946000,1.992000,0.046000
8726520,2001-10-22T04:00:00,2.195000,2.520000,0.325000
8726520,2001-11-05T05:00:00,2.750000,2.599000,-0.151000
8726520,2001-11-20T05:00:00,2.474000,2.369000,-0.105000
8726520,2001-12-04T05:00:00,2.868000,2.307000,-0.561000
8726520,2001-12-18T05:00:00,2.523000,2.471000,-0.052000
