autonumber,PeriodID,County,SPLocation,SPNo,Date,SampleTime,enterococcus,fecalColiform,PoorResults,advisory,WaterQuality,CollectionTime,Collector,AirTemp,WaterTemp,Weather,RainFall24h,RainFall3d,RainLastWeek,TidalConditionsA,TidalConditionsB,CurrentDirectionA,CurrentDirectionB,CurrentStrength,CommentField,Resample,Updated,enterococcus_code,fecalColiform_code,ec_GeoMean,ec_GeoMean_Code,SPID,Value_Qual,Batch_ID,Analysis_date,Analysis_Time,Lab_ID,Value_Qual_FC,Batch_ID_FC,Analysis_date_FC,Analysis_Time_FC,MDL_EC,MDL_FC,uql,uql_fc
161,1,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,8/2/00,,10,10,FALSE,FALSE,,,larkin,87,86,1,,,0,2,2,2,1,2,u= analyte not detected at the value indicated,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
1172,2,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,8/15/00,,10,10,FALSE,FALSE,,,larkin,80,83,2,,,0,2,2,2,1,1,u= analyte not detected at the value indicated,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
1187,3,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,8/29/00,,10,10,FALSE,FALSE,,,larkin,84,86,2,,,0,2,1,3,2,2,u= analyte not detected at the value indicated,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
1197,4,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,9/12/00,,10,10,FALSE,FALSE,,,larkin,82,86,1,,,0,2,1,2,1,1,u= analyte not detected at the value indicated,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
1480,5,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,9/25/00,,10,10,FALSE,FALSE,,,T Larkin,84,86,1,,,0,2,1,2,1,2,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
1795,6,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,10/10/00,,10,10,FALSE,FALSE,,,t larkin,68,72,1,,,0,2,2,3,2,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
2073,7,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,10/23/00,,10,10,FALSE,FALSE,,,T Larkin,80,75,1,,,0,2,2,2,1,2,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
2378,8,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,11/7/00,,10,30,FALSE,FALSE,,,T Larkin,80,77,1,,,0,1,1,2,1,2,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
2832,9,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,11/21/00,,10,10,FALSE,FALSE,,,t larkin,62,68,1,,,0,1,3,3,2,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
3146,10,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,12/5/00,,10,10,FALSE,FALSE,,,t larkin,60,62,1,,,0,1,3,3,2,2,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
3439,11,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,12/19/00,,10,10,FALSE,FALSE,,,t larkin,72,68,3,,,0,2,2,2,1,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
3852,12,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,1/2/01,,10,10,FALSE,FALSE,,,t larkin,51,54,1,,,0,1,3,3,2,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
