autonumber,PeriodID,County,SPLocation,SPNo,Date,SampleTime,enterococcus,fecalColiform,PoorResults,advisory,WaterQuality,CollectionTime,Collector,AirTemp,WaterTemp,Weather,RainFall24h,RainFall3d,RainLastWeek,TidalConditionsA,TidalConditionsB,CurrentDirectionA,CurrentDirectionB,CurrentStrength,CommentField,Resample,Updated,enterococcus_code,fecalColiform_code,ec_GeoMean,ec_GeoMean_Code,SPID,Value_Qual,Batch_ID,Analysis_date,Analysis_Time,Lab_ID,Value_Qual_FC,Batch_ID_FC,Analysis_date_FC,Analysis_Time_FC,MDL_EC,MDL_FC,uql,uql_fc,,
266,1,Sarasota,LIDO CASINO BEACH,3,7/31/00,,59,72,FALSE,FALSE,,,Bob Rosenow,86,86,2,,,0.4,2,2,,1,3,,,,MODERATE,GOOD,,NA,265,,,,,,,,,,,,,,,
811,2,Sarasota,LIDO CASINO BEACH,3,8/14/00,,1,36,FALSE,FALSE,,,Rosenow,86,86,2,,,1.8,2,2,,1,2,,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
825,3,Sarasota,LIDO CASINO BEACH,3,8/28/00,,28,23,FALSE,FALSE,,,Rosenow,88,87,1,,,0.8,2,1,,3,2,Fecal coliform is geometric mean of 3 samples,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
896,4,Sarasota,LIDO CASINO BEACH,3,9/11/00,,120,76,TRUE,FALSE,,,Rosenow,87,87,1,,,0.4,2,1,2,1,3,Resampled entero on 9/13,,,POOR,GOOD,,NA,265,,,,,,,,,,,,,,,
8911,4,Sarasota,LIDO CASINO BEACH,3,9/13/00,,6,,FALSE,FALSE,,,Berry,89,87,2,,,0.6,2,1,,1,3,Entero resample is geometric mean of 3 samples,Resample_1,,GOOD,,,NA,265,,,,,,,,,,,,,,,
1573,5,Sarasota,LIDO CASINO BEACH,3,9/25/00,,12,16,FALSE,FALSE,,,Rosenow,83,86,2,,,0.6,2,1,,1,2,"water was turbid and ""sudsy""  Fecal coliform is geometric mean of 3 samples",,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
1724,6,Sarasota,LIDO CASINO BEACH,3,10/9/00,,1,4,FALSE,FALSE,,,Rosenow,66,78,2,,,0.1,2,1,,1,2,,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
2151,7,Sarasota,LIDO CASINO BEACH,3,10/23/00,,5,10,FALSE,FALSE,,,Rosenow,80,75,1,,,0,2,1,,3,3,Too choppy to assess current direction. Fecal coliform is geometric mean of 3 samples,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
2239,8,Sarasota,LIDO CASINO BEACH,3,11/6/00,,1,4,FALSE,FALSE,,,Rosenow,76,76,1,,,0,1,2,,2,3,,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
2742,9,Sarasota,LIDO CASINO BEACH,3,11/20/00,,3,10,FALSE,FALSE,,,Rosenow,60,73,2,,,0.1,1,1,,2,2,Fecal coliform is geometric mean of 3 samples,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
2870,10,Sarasota,LIDO CASINO BEACH,3,12/4/00,,1,4,FALSE,FALSE,,,Rosenow,56,60,1,,,0,1,2,,2,2,,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
3272,11,Sarasota,LIDO CASINO BEACH,3,12/18/00,,3,10,FALSE,FALSE,,,Rosenow,54,67,1,,,0.1,1,2,,2,2,Fecal coliform is geometric mean of 3 samples,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
3586,12,Sarasota,LIDO CASINO BEACH,3,1/2/01,,4,4,FALSE,FALSE,,,Rosenow,47,54,2,,,0.6,1,2,,2,2,,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
4062,13,Sarasota,LIDO CASINO BEACH,3,1/16/01,,1,10,FALSE,FALSE,,,Rosenow,60,56,1,,,0,1,3,1,3,3,Fecal coliform is geometric mean of 3 samples,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
4243,14,Sarasota,LIDO CASINO BEACH,3,1/29/01,,1,4,FALSE,FALSE,,,Rosenow,65,57,2,,,0,2,3,2,1,2,,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
4590,15,Sarasota,LIDO CASINO BEACH,3,2/12/01,,1,13,FALSE,FALSE,,,Rosenow,74,66,2,,,0,2,3,2,1,3,Fecal coliform is geometric mean of 3 samples,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
4917,16,Sarasota,LIDO CASINO BEACH,3,2/26/01,,4,4,FALSE,FALSE,,,Rosenow,74,73,1,,,0,2,3,1,1,3,,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
