autonumber,PeriodID,County,SPLocation,SPNo,Date,SampleTime,enterococcus,fecalColiform,PoorResults,advisory,WaterQuality,CollectionTime,Collector,AirTemp,WaterTemp,Weather,RainFall24h,RainFall3d,RainLastWeek,TidalConditionsA,TidalConditionsB,CurrentDirectionA,CurrentDirectionB,CurrentStrength,CommentField,Resample,Updated,enterococcus_code,fecalColiform_code,ec_GeoMean,ec_GeoMean_Code,SPID,Value_Qual,Batch_ID,Analysis_date,Analysis_Time,Lab_ID,Value_Qual_FC,Batch_ID_FC,Analysis_date_FC,Analysis_Time_FC,MDL_EC,MDL_FC,uql,uql_fc,,
152,1,Manatee,BAYFRONT PARK NORTH,1,8/2/2000,,10,10,FALSE,FALSE,,,larkin,86,86,1,,,0,2,2,3,1,2,u= analyte not detected at the value indicated,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
1163,2,Manatee,BAYFRONT PARK NORTH,1,8/15/2000,,10,10,FALSE,FALSE,,,larkin,80,83,3,,,0,1,3,1,3,3,u= analyte not detected at the value indicated,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
1178,3,Manatee,BAYFRONT PARK NORTH,1,8/29/2000,,20,200,FALSE,FALSE,,,larkin,84,86,2,,,0,2,1,3,1,2,,,,GOOD,MODERATE,,NA,152,,,,,,,,,,,,,,,
1188,4,Manatee,BAYFRONT PARK NORTH,1,9/12/2000,,10,10,FALSE,FALSE,,,larkin,81,82,1,,,0,2,2,3,1,2,u= anaiyte not deyected at the value indicated,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
1471,5,Manatee,BAYFRONT PARK NORTH,1,9/25/2000,,10,10,FALSE,FALSE,,,T Larkin,84,86,2,,,0,2,1,3,1,2,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
1786,6,Manatee,BAYFRONT PARK NORTH,1,10/10/2000,,10,10,FALSE,FALSE,,,tlarkin,65,70,1,,,0,2,2,3,1,2,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
2064,7,Manatee,BAYFRONT PARK NORTH,1,10/23/2000,,10,10,FALSE,FALSE,,,T Larkin,80,76,1,,,0,2,1,3,1,3,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
2369,8,Manatee,BAYFRONT PARK NORTH,1,11/7/2000,,10,10,FALSE,FALSE,,,T Larkin,78,76,1,,,0,2,1,3,1,3,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
2823,9,Manatee,BAYFRONT PARK NORTH,1,11/21/2000,,10,10,FALSE,FALSE,,,t larkin,61,67,1,,,0,1,3,3,1,2,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
3137,10,Manatee,BAYFRONT PARK NORTH,1,12/5/2000,,10,10,FALSE,FALSE,,,t larkin,58,60,2,,,0,1,2,3,2,3,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
3430,11,Manatee,BAYFRONT PARK NORTH,1,12/19/2000,,10,10,FALSE,FALSE,,,t larkin,69,68,3,,,0,2,1,3,1,1,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
3843,12,Manatee,BAYFRONT PARK NORTH,1,01/02/01,,20,10,FALSE,FALSE,,,t larkin,50,52,1,,,0,1,3,2,2,2,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
4074,13,Manatee,BAYFRONT PARK NORTH,1,01/16/01,,10,10,FALSE,FALSE,,,t larkin,62,60,1,,,0,1,3,2,2,3,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
4442,14,Manatee,BAYFRONT PARK NORTH,1,01/30/01,,10,10,FALSE,FALSE,,,t larkin,69,61,2,,,0,1,3,2,2,3,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
4677,15,Manatee,BAYFRONT PARK NORTH,1,02/13/01,,10,10,FALSE,FALSE,,,t larkin,72,69,1,,,0,1,3,2,2,3,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
4965,16,Manatee,BAYFRONT PARK NORTH,1,02/27/01,,10,30,FALSE,FALSE,,,t larkin,76,72,1,,,0,1,3,1,,,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
5311,17,Manatee,BAYFRONT PARK NORTH,1,03/13/01,,10,10,FALSE,FALSE,,,t larkin,71,70,2,,,0.1,2,2,3,1,3,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
5616,18,Manatee,BAYFRONT PARK NORTH,1,03/27/01,,10,10,FALSE,FALSE,,,t larkin,66,68,1,,,0.4,1,3,,2,3,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
5891,19,Manatee,BAYFRONT PARK NORTH,1,04/10/01,,10,10,FALSE,FALSE,,,t larkin,77,75,1,,,0.8,1,2,,2,3,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
6043,20,Manatee,BAYFRONT PARK NORTH,1,04/24/01,,10,10,FALSE,FALSE,,,t larkin,80,76,1,,,0,2,1,,1,3,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
6283,21,Manatee,BAYFRONT PARK NORTH,1,05/07/01,,10,10,FALSE,FALSE,,,t larkin,73,76,1,,,0.9,2,3,,1,3,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
6842,22,Manatee,BAYFRONT PARK NORTH,1,05/21/01,,60,30,FALSE,FALSE,,,t larkin,89,81,1,,,0,2,1,,1,3,,,,MODERATE,GOOD,,NA,152,,,,,,,,,,,,,,,
7246,23,Manatee,BAYFRONT PARK NORTH,1,06/05/01,,10,10,FALSE,FALSE,,,t larkin,82,85,1,,,2.4,2,2,,1,3,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
7493,24,Manatee,BAYFRONT PARK NORTH,1,06/19/01,,50,160,FALSE,FALSE,,,k kimes,88,88,1,,,0,2,1,,1,3,,,,MODERATE,GOOD,,NA,152,,,,,,,,,,,,,,,
7918,25,Manatee,BAYFRONT PARK NORTH,1,07/02/01,,10,30,FALSE,FALSE,,,t larkin,82,84,1,,,11,2,1,,2,3,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
8228,26,Manatee,BAYFRONT PARK NORTH,1,07/16/01,,10,10,FALSE,FALSE,,,t larkin,80,82,2,,,6.6,2,1,,2,3,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
8495,27,Manatee,BAYFRONT PARK NORTH,1,07/31/01,,20,140,FALSE,FALSE,,,t larkin,83,85,2,,,0.3,2,1,,3,3,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
8862,28,Manatee,BAYFRONT PARK NORTH,1,08/14/01,,70,50,FALSE,FALSE,,,t larkin,84,86,1,,,0.1,2,1,,1,3,,,,MODERATE,GOOD,,NA,152,,,,,,,,,,,,,,,
9239,29,Manatee,BAYFRONT PARK NORTH,1,08/28/01,,10,10,FALSE,FALSE,,,t larkin,84,87,1,,,0.3,2,1,,2,3,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
9609,30,Manatee,BAYFRONT PARK NORTH,1,09/11/01,,50,30,FALSE,FALSE,,,t larkin,79,82,1,,,0.1,1,1,,2,3,,,,MODERATE,GOOD,,NA,152,,,,,,,,,,,,,,,
9966,31,Manatee,BAYFRONT PARK NORTH,1,09/27/01,,10,10,FALSE,FALSE,,,t larkin,75,80,2,,,0.1,2,1,,3,3,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
10218,32,Manatee,BAYFRONT PARK NORTH,1,10/09/01,,10,10,FALSE,FALSE,,,t larkin,76,79,1,,,0,1,3,,2,3,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
10602,33,Manatee,BAYFRONT PARK NORTH,1,10/22/01,,40,210,FALSE,FALSE,,,t larkin,76,74,2,,,1.2,1,3,,2,3,,,,MODERATE,MODERATE,,NA,152,,,,,,,,,,,,,,,
10932,34,Manatee,BAYFRONT PARK NORTH,1,11/05/01,,40,40,FALSE,FALSE,,,t larkin,71,70,2,,,0,1,3,,2,3,,,,MODERATE,GOOD,,NA,152,,,,,,,,,,,,,,,
11213,35,Manatee,BAYFRONT PARK NORTH,1,11/20/01,,10,20,FALSE,FALSE,,,t larkin,70,70,1,,,0,1,3,,3,3,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
11479,36,Manatee,BAYFRONT PARK NORTH,1,12/04/01,,30,50,FALSE,FALSE,,,t larkin,75,72,1,,,0,1,3,,2,3,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
11835,37,Manatee,BAYFRONT PARK NORTH,1,12/18/01,,10,60,FALSE,FALSE,,,t larkin,71,76,1,,,0.3,2,3,,3,3,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
12174,38,Manatee,BAYFRONT PARK NORTH,1,01/02/02,,30,30,FALSE,FALSE,,,t larkin,61,60,2,,,0,1,3,,1,3,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
12505,39,Manatee,BAYFRONT PARK NORTH,1,01/15/02,,80,50,FALSE,FALSE,,,t larkin,60,61,2,,,1.1,1,3,,1,3,,,,MODERATE,GOOD,,NA,152,,,,,,,,,,,,,,,
12755,40,Manatee,BAYFRONT PARK NORTH,1,01/29/02,,10,10,FALSE,FALSE,,,t larkin,72,72,1,,,0,2,3,,1,3,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
13243,41,Manatee,BAYFRONT PARK NORTH,1,02/12/02,,10,10,FALSE,FALSE,,,t larkin,63,64,2,,,0.9,2,3,,1,3,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
13477,42,Manatee,BAYFRONT PARK NORTH,1,02/25/02,,10,10,FALSE,FALSE,,,t larkin,60,61,1,,,2.4,2,3,,1,3,,,,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
13779,43,Manatee,BAYFRONT PARK NORTH,1,03/12/02,9:30,10,10,FALSE,FALSE,,,t larkin,70,66,1,0.1,0.1,0.4,2,3,0,3,3,,,2002-03-19 16:10:00,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
14093,44,Manatee,BAYFRONT PARK NORTH,1,03/26/02,7:52,10,10,FALSE,FALSE,,,t larkin,70,72,1,0,0,0,2,3,,1,3,,,2002-04-05 16:14:00,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
14396,45,Manatee,BAYFRONT PARK NORTH,1,04/09/02,9:14,10,70,FALSE,FALSE,,,t larkin,74,70,1,0,0,0.1,2,3,,1,3,,,2002-04-18 15:13:00,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
14713,46,Manatee,BAYFRONT PARK NORTH,1,04/23/02,8:25,10,20,FALSE,FALSE,,,t larkin,76,78,2,0,0,0.4,2,2,,3,3,,,2002-05-01 15:53:00,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
15005,47,Manatee,BAYFRONT PARK NORTH,1,05/07/02,8:34,10,10,FALSE,FALSE,,,t larkin,75,86,1,0,0,0,2,2,,3,3,,,2002-05-15 16:45:00,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
15304,48,Manatee,BAYFRONT PARK NORTH,1,05/21/02,10:05,10,10,FALSE,FALSE,,,t larkin,74,74,1,0,0.9,0.9,2,1,,3,3,,,2002-05-30 16:29:00,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
15652,49,Manatee,BAYFRONT PARK NORTH,1,06/04/02,8:11,10,10,FALSE,FALSE,,,t larkin,80,82,2,0,0,0,2,2,,3,3,,,2002-06-14 15:37:00,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
15942,50,Manatee,BAYFRONT PARK NORTH,1,06/18/02,8:40,20,10,FALSE,FALSE,,,t larkin,76,80,3,1.4,1.6,1.6,2,1,,3,3,,,2002-06-27 10:18:00,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
16097,51,Manatee,BAYFRONT PARK NORTH,1,07/02/02,8:10,20,30,FALSE,FALSE,,,t larkin,75,80,1,0.9,1.4,1.4,1,1,,2,3,,,2002-07-03 16:04:00,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
16467,52,Manatee,BAYFRONT PARK NORTH,1,07/16/02,7:45,10,20,FALSE,FALSE,,,t larkin,80,84,2,0,0.5,4.2,1,1,,3,3,,,2002-07-19 11:06:00,GOOD,GOOD,,NA,152,,,,,,,,,,,,,,,
